Source,Target,Weight,Type
0,1,7,Directed
0,2,7,Directed
1,0,4,Directed
1,2,4,Directed
2,0,4,Directed
2,1,4,Directed
1,5,3,Directed
1,3,3,Directed
1,7,3,Directed
5,7,12,Directed
5,6,10,Directed
5,3,7,Directed
5,9,1,Directed
5,15,6,Directed
5,17,5,Directed
5,10,6,Directed
5,14,4,Directed
5,18,1,Directed
6,7,5,Directed
6,5,8,Directed
6,3,7,Directed
6,9,2,Directed
6,15,5,Directed
6,18,2,Directed
6,17,3,Directed
6,10,2,Directed
6,8,1,Directed
15,5,8,Directed
15,3,6,Directed
15,17,6,Directed
15,6,8,Directed
15,7,6,Directed
15,18,2,Directed
7,3,8,Directed
7,5,4,Directed
7,15,4,Directed
7,17,4,Directed
7,6,4,Directed
7,16,4,Directed
7,4,4,Directed
7,13,1,Directed
7,12,1,Directed
19,8,2,Directed
19,9,2,Directed
17,15,2,Directed
17,3,3,Directed
17,4,2,Directed
17,5,1,Directed
17,7,1,Directed
17,6,1,Directed
13,3,4,Directed
13,12,10,Directed
13,14,4,Directed
13,20,4,Directed
13,7,5,Directed
16,4,6,Directed
16,3,4,Directed
14,20,12,Directed
14,13,4,Directed
14,5,6,Directed
14,21,2,Directed
20,14,5,Directed
20,13,1,Directed
10,5,7,Directed
10,3,5,Directed
10,6,1,Directed
21,14,3,Directed
22,23,15,Directed
22,25,13,Directed
22,24,2,Directed
23,22,4,Directed
23,24,5,Directed
23,25,3,Directed
23,26,2,Directed
24,23,3,Directed
26,23,3,Directed
26,24,3,Directed
25,22,12,Directed
25,23,11,Directed
25,24,3,Directed
8,19,1,Directed
8,9,4,Directed
8,4,11,Directed
8,12,3,Directed
8,3,2,Directed
8,7,2,Directed
8,6,2,Directed
8,11,2,Directed
12,13,9,Directed
12,4,10,Directed
12,8,5,Directed
12,7,5,Directed
12,11,2,Directed
12,3,2,Directed
12,6,2,Directed
12,8,2,Directed
12,9,2,Directed
11,4,7,Directed
11,3,18,Directed
11,7,4,Directed
11,8,4,Directed
11,9,4,Directed
11,6,4,Directed
11,12,2,Directed
11,13,2,Directed
3,7,17,Directed
3,5,10,Directed
3,6,9,Directed
3,17,9,Directed
3,15,7,Directed
3,4,20,Directed
3,1,5,Directed
3,11,11,Directed
3,9,2,Directed
3,8,2,Directed
3,10,4,Directed
3,16,3,Directed
3,13,5,Directed
3,12,1,Directed
9,3,5,Directed
9,7,5,Directed
9,4,5,Directed
9,6,5,Directed
9,8,5,Directed
9,11,4,Directed
9,13,1,Directed
9,12,1,Directed
4,17,1,Directed
4,3,18,Directed
4,16,13,Directed
4,8,7,Directed
4,11,2,Directed
4,7,6,Directed
4,12,4,Directed
4,13,1,Directed
4,6,1,Directed
4,9,1,Directed
